ward_id,ward_name,city,lat,lon,population_density,building_density,impervious_surface,tree_cover_pct,elderly_share_pct,income_index,land_surface_temp_c,thermal_anomaly_c,satellite_quality,satellite_pass,nearest_station_id,weather_air_temp_c,weather_humidity_pct,weather_wind_speed_mps,station_distance_deg,heat_score,vulnerability_index,risk_level,recommendations,heat_advisory,priority_rank
W20,Ward 20,Demo City,28.640900000000002,77.245,11225.75,67.65,59.03,18.58,16.2,0.331,39.39,8.39,good,2026-04-29,S03,35.76,50.17,2.64,0.045,97.12,100.0,Extreme,Promote reflective roofs and cool paving; Prioritize cooling shelters and drinking water points,"Heat watch for Ward 20: recommend shade, hydration, and schedule changes for outdoor work.",97.984
W15,Ward 15,Demo City,28.6229,77.245,9142.84,71.34,63.33,10.93,13.21,0.436,41.13,10.13,cloud_filtered,2026-04-29,S02,33.06,32.63,2.53,0.03189,100.0,64.92,Extreme,Increase tree planting and shade corridors; Promote reflective roofs and cool paving,"Heat watch for Ward 15: recommend shade, hydration, and schedule changes for outdoor work.",89.476
W18,Ward 18,Demo City,28.640900000000002,77.209,9152.94,79.45,64.28,16.15,10.8,0.343,37.85,6.85,usable,2026-04-29,S04,35.61,36.25,2.12,0.01921,96.3,56.62,Extreme,Increase tree planting and shade corridors; Promote reflective roofs and cool paving,"Heat watch for Ward 18: recommend shade, hydration, and schedule changes for outdoor work.",84.39599999999999
W13,Ward 13,Demo City,28.6229,77.209,9559.4,68.07,63.44,14.14,11.1,0.433,37.76,6.76,good,2026-04-29,S03,35.76,50.17,2.64,0.009,89.69,56.61,Extreme,Increase tree planting and shade corridors; Promote reflective roofs and cool paving,"Heat watch for Ward 13: recommend shade, hydration, and schedule changes for outdoor work.",79.76599999999999
W16,Ward 16,Demo City,28.640900000000002,77.173,9427.38,66.02,55.53,25.32,9.03,0.274,39.01,8.01,good,2026-04-29,S05,36.65,40.68,3.23,0.00671,92.23,48.25,High,Promote reflective roofs and cool paving,"Severe heat advisory for Ward 16: limit outdoor activity, hydrate, and activate cooling support.",79.03599999999999
W17,Ward 17,Demo City,28.640900000000002,77.191,10799.68,56.93,53.88,8.92,11.79,0.484,37.11,6.11,cloud_filtered,2026-04-29,S04,35.61,36.25,2.12,0.01237,80.03,72.5,Extreme,Increase tree planting and shade corridors; Prioritize cooling shelters and drinking water points,"Heat watch for Ward 17: recommend shade, hydration, and schedule changes for outdoor work.",77.77099999999999
W11,Ward 11,Demo City,28.6229,77.173,9147.85,54.68,58.79,9.04,13.07,0.503,37.39,6.39,cloud_filtered,2026-04-29,S04,35.61,36.25,2.12,0.02184,80.25,60.73,High,Increase tree planting and shade corridors,"Heat watch for Ward 11: recommend shade, hydration, and schedule changes for outdoor work.",74.39399999999999
W08,Ward 08,Demo City,28.6049,77.209,8423.36,56.39,54.71,18.68,12.94,0.488,37.2,6.2,usable,2026-04-29,S03,35.76,50.17,2.64,0.009,69.69,45.43,Moderate,Maintain current green cover and monitor weekly,"Heat watch for Ward 08: recommend shade, hydration, and schedule changes for outdoor work.",62.41199999999999
W14,Ward 14,Demo City,28.6229,77.227,10219.49,60.09,50.29,26.0,11.37,0.379,37.24,6.24,good,2026-04-29,S03,35.76,50.17,2.64,0.02012,64.2,57.58,High,Promote reflective roofs and cool paving,"Heat watch for Ward 14: recommend shade, hydration, and schedule changes for outdoor work.",62.214
W19,Ward 19,Demo City,28.640900000000002,77.227,11288.19,51.57,50.33,25.22,11.66,0.244,36.32,5.32,good,2026-04-29,S03,35.76,50.17,2.64,0.03245,50.47,80.72,High,Prioritize cooling shelters and drinking water points,Routine monitoring for Ward 19: conditions are currently manageable.,59.54499999999999
W12,Ward 12,Demo City,28.6229,77.191,10341.17,54.85,52.19,19.21,9.25,0.339,36.14,5.14,usable,2026-04-29,S04,35.61,36.25,2.12,0.00671,57.82,58.55,Moderate,Maintain current green cover and monitor weekly,Routine monitoring for Ward 12: conditions are currently manageable.,58.038999999999994
W09,Ward 09,Demo City,28.6049,77.227,8884.77,56.11,52.65,28.93,8.44,0.434,37.88,6.88,usable,2026-04-29,S02,33.06,32.63,2.53,0.00671,38.71,24.23,Low,Maintain current green cover and monitor weekly,Routine monitoring for Ward 09: conditions are currently manageable.,34.366
W03,Ward 03,Demo City,28.5869,77.209,7814.51,58.63,48.49,27.03,11.19,0.443,36.24,5.24,cloud_filtered,2026-04-29,S02,33.06,32.63,2.53,0.01921,29.88,27.45,Low,Maintain current green cover and monitor weekly,Routine monitoring for Ward 03: conditions are currently manageable.,29.150999999999996
W10,Ward 10,Demo City,28.6049,77.245,8314.8,49.33,56.45,19.24,9.77,0.527,36.08,5.08,good,2026-04-29,S01,32.4,35.19,2.53,0.02184,24.42,26.31,Low,Maintain current green cover and monitor weekly,Routine monitoring for Ward 10: conditions are currently manageable.,24.987000000000002
W07,Ward 07,Demo City,28.6049,77.191,6885.73,41.82,48.16,23.59,12.54,0.523,33.78,2.78,cloud_filtered,2026-04-29,S03,35.76,50.17,2.64,0.02012,23.59,21.42,Low,Maintain current green cover and monitor weekly,Routine monitoring for Ward 07: conditions are currently manageable.,22.939
W05,Ward 05,Demo City,28.5869,77.245,8345.23,44.27,48.66,22.07,11.58,0.534,35.86,4.86,usable,2026-04-29,S01,32.4,35.19,2.53,0.00671,14.88,31.69,Low,Maintain current green cover and monitor weekly,Routine monitoring for Ward 05: conditions are currently manageable.,19.923000000000002
W04,Ward 04,Demo City,28.5869,77.227,7121.19,46.2,41.51,33.03,13.05,0.498,35.85,4.85,cloud_filtered,2026-04-29,S01,32.4,35.19,2.53,0.01237,3.03,19.3,Low,Maintain current green cover and monitor weekly,Routine monitoring for Ward 04: conditions are currently manageable.,7.911
W02,Ward 02,Demo City,28.5869,77.191,6916.48,39.61,39.6,28.02,12.06,0.592,31.77,0.77,cloud_filtered,2026-04-29,S03,35.76,50.17,2.64,0.03245,0.0,9.94,Low,Maintain current green cover and monitor weekly,Routine monitoring for Ward 02: conditions are currently manageable.,2.9819999999999998
